address,square_feet,market_values,sales_prices,year_built,bedrooms,bathrooms,garage_sqft,garage_apt_sqft,porch_sqft,unfin_attic_sqft
1000 PEDALERS LN,1024,"{2023: 331500, 2022: 284500, 2021: 243000, 2020: 231500}",{2019: 232500},2018,3,1.5,0,0,71,0
1001 PEDALERS LN,1167,"{2023: 369000, 2022: 317000, 2021: 267500, 2020: 257000}",{2019: 246000},2018,3,1.5,0,0,69,0
1004 PEDALERS LN,766,"{2023: 281500, 2022: 242000, 2021: 210500, 2020: 206000}","{2020: 215000, 2019: 197500}",2018,2,1.5,0,0,56,0
1005 PEDALERS LN,756,"{2023: 277500, 2022: 237500, 2021: 208000, 2020: 201000}",{2019: 191000},2018,1,1.0,0,0,102,0
1008 PEDALERS LN,1164,"{2023: 353500, 2022: 303000, 2021: 259500, 2020: 247500}",{2019: 248500},2018,3,1.5,0,0,72,0
1009 PEDALERS LN,648,"{2023: 229000, 2022: 151500, 2021: 151500, 2020: 151500}","{2022: 228000, 2019: 150500}",2018,1,1.0,0,0,76,0
1020 PEDALERS LN,857,"{2023: 251500, 2022: 251500}",{2021: 249000},2021,2,1.5,0,0,96,0
1021 PEDALERS LN,790,"{2023: 313500, 2022: 257500}","{2023: 285000, 2021: 249000}",2021,2,1.5,0,0,80,0
1024 PEDALERS LN,837,"{2023: 332000, 2022: 269000}",{2021: 259000},2021,2,1.5,0,0,70,0
1025 PEDALERS LN,857,"{2023: 257000, 2022: 257000}",{2021: 254000},2021,2,1.5,0,0,80,0
1028 PEDALERS LN,1120,"{2023: 352500, 2022: 352500}",{2021: 359000},2021,2,2.5,0,0,89,0
1029 PEDALERS LN,1210,"{2023: 354000, 2022: 354000}",{2021: 359000},2021,3,2.5,0,0,86,0
914 PEDALERS LN,1209,{},{},2023,2,2.5,0,0,82,0
915 PEDALERS LN,1256,"{2023: 398000, 2022: 343000}","{2023: 367500, 2021: 335000}",2020,3,2.5,0,0,76,0
916 PEDALERS LN,1158,{},{},2023,3,2.5,0,0,77,0
917 PEDALERS LN,1122,"{2023: 375500, 2022: 324000}",{2021: 318000},2020,3,2.5,0,0,85,0
918 PEDALERS LN,1153,{},{},2023,3,2.5,0,0,69,0
919 PEDALERS LN,1180,"{2023: 385500, 2022: 332500}",{2021: 321000},2020,3,2.5,0,0,85,0
920 PEDALERS LN,1179,{},{2023: 414000},2023,3,2.5,0,0,85,0
921 PEDALERS LN,1194,"{2023: 411000, 2022: 316000}","{2022: 410000, 2021: 308000}",2020,3,2.5,0,0,85,0
922 PEDALERS LN,1158,{},{},2023,3,2.5,0,0,69,0
923 PEDALERS LN,1136,"{2023: 378500, 2022: 326500}",{2021: 326000},2020,3,2.5,0,0,85,0
924 PEDALERS LN,1043,{},{2023: 409000},2023,2,2.5,0,0,69,0
925 PEDALERS LN,1187,"{2023: 314500, 2022: 314500}",{2021: 307000},2020,3,2.5,0,0,85,0
926 PEDALERS LN,1158,{},{},2023,3,2.5,0,0,69,0
927 PEDALERS LN,1064,"{2023: 365500, 2022: 315500}",{2021: 303500},2020,2,2.5,0,0,85,0
932 PEDALERS LN,648,"{2023: 189500, 2022: 189500, 2021: 170500, 2020: 170500}","{2021: 185000, 2019: 169000}",2018,1,1.0,0,0,76,0
933 PEDALERS LN,1164,"{2023: 353500, 2022: 303000, 2021: 259500, 2020: 247500}","{2020: 260000, 2019: 238000}",2018,3,1.5,0,0,72,0
936 PEDALERS LN,756,"{2023: 277500, 2022: 237500, 2021: 208000, 2020: 201000}",{2019: 189500},2018,1,1.0,0,0,102,0
937 PEDALERS LN,859,"{2023: 255500, 2022: 203000, 2021: 203000, 2020: 203000}","{2022: 253000, 2019: 201000}",2018,2,1.5,0,0,90,0
940 PEDALERS LN,1167,"{2023: 371000, 2022: 319000, 2021: 269000, 2020: 258500}","{2023: 345000, 2021: 330000}",2019,3,1.5,0,0,69,0
941 PEDALERS LN,1024,"{2023: 285500, 2022: 285500, 2021: 248500, 2020: 248500}","{2021: 287000, 2019: 259000}",2018,2,1.5,0,0,71,0
1700 PIONEER ST,1768,{2023: 564500},{2022: 519000},2021,3,2.5,506,0,172,0
1702 PIONEER ST,1534,"{2023: 512500, 2022: 423500}",{2021: 417000},2021,3,2.5,462,0,193,0
1704 PIONEER ST,1780,"{2023: 566500, 2022: 469000}",{2021: 472500},2021,3,2.5,462,0,150,0
1708 PIONEER ST,1635,"{2023: 546000, 2022: 452500}",{2021: 450500},2021,3,2.5,528,0,154,0
1712 PIONEER ST,2219,"{2023: 581000, 2022: 581000}",{2021: 589000},2021,3,3.5,475,0,382,0
1716 PIONEER ST,1760,"{2023: 464500, 2022: 464500}",{2021: 459000},2020,3,2.5,550,0,417,0
1720 PIONEER ST,1804,"{2023: 470000, 2022: 470000, 2021: 470000}","{2023: 595000, 2020: 474500}",2020,3,2.5,557,0,296,0
1724 PIONEER ST,2593,"{2023: 653500, 2022: 653500}",{2021: 646000},2020,3,3.5,528,0,380,0
1728 PIONEER ST,2175,"{2023: 905500, 2022: 653000, 2021: 653000}",{2020: 653000},2020,4,4.5,957,429,252,0
1732 PIONEER ST,2072,"{2023: 521000, 2022: 521000, 2021: 521000}",{2020: 526000},2020,4,2.5,528,0,266,0
1736 PIONEER ST,3270,"{2023: 666500, 2022: 666500}",{2021: 659000},2020,3,2.5,660,0,497,0
1800 PIONEER ST,3349,"{2023: 900000, 2022: 730000, 2021: 654000}",{},2020,4,3.5,720,0,407,0
1804 PIONEER ST,2718,"{2023: 611500, 2022: 611500, 2021: 611500}",{2020: 615000},2020,4,3.5,528,0,352,0
1808 PIONEER ST,2258,"{2023: 630500, 2022: 630500, 2021: 630500}",{2020: 642500},2020,3,3.5,528,0,468,0
1812 PIONEER ST,2147,"{2023: 563500, 2022: 563500, 2021: 557500}",{2020: 565000},2020,3,2.5,624,0,368,0
1816 PIONEER ST,2252,"{2023: 713500, 2022: 582500}","{2023: 685000, 2021: 570000}",2020,4,3.5,484,0,326,0
1820 PIONEER ST,2476,"{2023: 623500, 2022: 623500, 2021: 623500}",{2020: 625500},2020,4,3.5,528,0,404,0
1824 PIONEER ST,1626,"{2023: 502500, 2022: 502500}",{2021: 490000},2021,3,2.5,528,0,346,180
1825 PIONEER ST,1358,"{2023: 472000, 2022: 395000}",{2021: 393000},2021,3,2.5,396,0,108,0
1829 PIONEER ST,1358,"{2023: 472500, 2022: 430500}",{2021: 433000},2021,3,2.5,396,0,108,0
1833 PIONEER ST,1358,"{2023: 472500, 2022: 395500}",{},2021,3,2.5,396,0,108,0
1837 PIONEER ST,1358,"{2023: 473000, 2022: 396000}",{2021: 404000},2021,3,2.5,396,0,108,0
1841 PIONEER ST,1425,"{2023: 485000, 2022: 405500}",{2021: 379000},2021,3,2.5,396,0,108,0
1900 PIONEER ST,2334,{2023: 708000},{2022: 695500},2021,3,2.5,657,0,439,0
1901 PIONEER ST,1751,{2023: 559500},{2022: 574500},2021,3,2.5,483,0,367,0
1904 PIONEER ST,2019,"{2023: 636500, 2022: 527500}",{2021: 533500},2021,3,2.5,528,0,513,0
1905 PIONEER ST,2334,{2023: 691500},{2022: 695000},2022,3,2.5,624,0,346,0
1908 PIONEER ST,2265,{2023: 786000},{2022: 716500},2021,3,3.5,969,441,326,0
1909 PIONEER ST,1926,{},{2023: 805000},2022,3,2.5,528,0,362,0
1912 PIONEER ST,2866,{},{2023: 895000},2021,4,3.5,528,0,354,99
1913 PIONEER ST,2021,{},{2023: 685000},2022,3,2.5,575,0,338,0
1916 PIONEER ST,2338,{2023: 733500},{2022: 732500},2021,3,3.0,552,0,478,0
1917 PIONEER ST,1774,{},{2023: 620000},2022,3,2.5,600,0,233,0
1920 PIONEER ST,3206,{},{2023: 989500},2022,4,3.5,690,0,494,0
1921 PIONEER ST,2730,{},{},2023,4,3.5,593,0,874,0
1700 RUNWAY BLVD,2965,"{2023: 914500, 2022: 897000}",{2021: 913500},2021,4,3.5,630,0,424,383
